ID_Personne,Nom,Prenom,Adresse,CSP
100001,Gauthier,Olivier,107 Boulevard Clemenceau,0
100002,Bonnet,Eric,9 Boulevard De L'Hôpital,3
100003,Garcia,Aurelie,115 Boulevard De L'Hôpital,0
100004,Sanchez,Lisa,94 Avenue De La Gare,0
100005,Sanchez,Isabelle,115 Rue Nationale,3
100006,Martinez,Nicole,112 Rue Gambetta,0
100007,Muller,Patrick,119 Rue De La Mairie,0
100008,Morel,Oceane,73 Boulevard Victor Hugo,4
100009,Roux,Nicole,35 Avenue François Mitterrand,3
100010,Nicolas,Bernard,148 Rue Gambetta,2
100011,Laurent,Sylvie,27 Avenue De La Poste,2
100012,Mathieu,Frederic,109 Rue De La Gendarmerie,3
100013,Dupont,Aurelie,61 Boulevard Liberté,0
100014,Duval,Bruno,6 Boulevard Des Platanes,1
100015,Dumont,Laurent,143 Rue De La Mairie,2
100016,Joly,Valerie,75 Rue Des Roses,0
100017,Nicolas,Sarah,24 Rue De L'Essonne,0
100018,Garnier,Emilie,107 Avenue De La Poste,0
100019,Durand,Celine,25 Avenue Jean Jaurès,4
100020,Sanchez,Corinne,135 Avenue Des Lilas,2
100021,Legrand,Delphine,90 Boulevard De L'Hôpital,0
100022,Robert,Stephanie,122 Avenue Du Général De Gaulle,0
100023,Mercier,Jean,109 Avenue Foch,4
100024,Nguyen,Corinne,77 Rue De La République,2
100025,Lemaire,Patrick,50 Avenue Du Parc,0
100026,Robert,Bruno,80 Rue De La Mairie,0
100027,Gauthier,Julie,52 Avenue De La Poste,0
100028,Bonnet,Francoise,120 Rue Du Commerce,1
100029,Dumont,Jacqueline,24 Boulevard Des Platanes,1
100030,Guerin,Francine,36 Avenue Des Écoles,0
100031,Michel,Chantal,139 Boulevard Des Platanes,0
100032,Lefebvre,Emma,95 Rue Gambetta,0
100033,Inconnu,Francoise,51 Rue De L'Église,0
100034,Noel,Anne,79 Avenue De La Gare,0
100035,Inconnu,Lisa,59 Avenue Du Général De Gaulle,0
100036,Dupont,Sandrine,111 Avenue Carnot,2
