ID_Personne,Nom,Prenom,Adresse,CSP
1,Noel,Philippe,124 Avenue Victor Hugo,0
2,Michel,Francine,59 Boulevard Haussmann,0
3,Dumont,Francine,109 Avenue De La République,4
4,Legrand,Delphine,105 Rue De La Paix,0
5,Chevalier,Francine,72 Rue Lafayette,0
6,Gerard,Martine,72 Rue Lafayette,4
7,Roussel,Claire,116 Rue De Rome,3
8,Garcia,Claire,47 Rue Cardinet,3
9,Chevalier,Manon,82 Boulevard Des Batignolles,0
10,Lefebvre,Celine,194 Rue De Ménilmontant,3
11,Fontaine,Patrick,136 Rue Popincourt,2
12,Perrin,Marianne,72 Boulevard De Rochechouart,3
13,Faure,Inconnu,77 Boulevard Du Temple,3
14,Roche,Christine,43 Avenue De Clichy,2
15,Duval,Patrick,91 Rue De Ménilmontant,4
16,Simon,Delphine,180 Rue Saint-Maur,0
17,David,Eric,137 Boulevard Haussmann,3
18,Blanc,Chantal,142 Avenue Montaigne,0
19,Garnier,Emilie,95 Rue De Charonne,0
20,Gauthier,Francoise,184 Boulevard Saint-Germain,0
21,Laurent,Camille,107 Rue De Belleville,0
22,Garcia,Emma,70 Rue De Ménilmontant,0
23,Roux,Sandrine,104 Rue Jean-Pierre Timbaud,0
24,Martinez,Pascale,176 Boulevard Pereire,0
25,Perrin,Delphine,42 Rue De Belleville,1
26,Nguyen,Delphine,100 Avenue Victor Hugo,0
27,Martin,Patrick,72 Avenue Hoche,0
28,Sanchez,Daniel,197 Avenue De Clichy,0
29,Perrin,David,69 Rue Lafayette,1
30,Francois,Michel,187 Boulevard De Rochechouart,0
31,Roux,Sophie,24 Avenue De Clichy,0
32,Lefebvre,Karine,61 Rue Du Temple,1
33,Andre,Christophe,107 Rue Condorcet,0
34,Roger,Sylvie,63 Avenue De La République,3
35,Sanchez,Dominique,187 Rue De Courcelles,4
36,Morin,Marianne,83 Rue De Rivoli,0
37,Gautier,Bruno,15 Rue Saint-Antoine,0
38,Joly,Chantal,112 Avenue Hoche,1
39,Bonnet,Celine,76 Avenue Parmentier,0
40,Garnier,Pascal,5 Avenue Trudaine,0
41,Francois,David,163 Rue De La Roquette,0
42,Richard,Pierre,156 Boulevard Malesherbes,0
43,Inconnu,Michel,66 Rue Popincourt,0
44,Nguyen,Delphine,98 Rue Cardinet,0
45,Dupont,Stephane,163 Rue De Lévis,0
46,Roche,Aurelie,156 Rue Blanche,0
47,Moreau,Celine,157 Avenue Philippe-Auguste,2
48,Laurent,Pascal,73 Boulevard Richard-Lenoir,0
49,Dumont,Patrick,40 Rue De Rivoli,0
50,Simon,Nicolas,55 Boulevard Richard-Lenoir,4
51,Robin,Julien,99 Boulevard Du Temple,3
52,Gautier,Chantal,129 Avenue Trudaine,0
53,Joly,Nathalie,99 Boulevard Malesherbes,0
54,Roy,Alain,70 Rue Lafayette,0
55,Muller,Pascale,92 Rue Condorcet,2
56,Vincent,Jacqueline,112 Rue De Belleville,0
57,Morel,Emma,182 Rue Lafayette,3
58,Lopez,Valerie,92 Avenue Parmentier,0
59,Nguyen,Lea,59 Rue Saint-Antoine,1
60,Roger,Jean,195 Boulevard Pereire,0
61,Leroy,Francine,176 Boulevard Voltaire,3
62,Denis,Manon,38 Rue De Courcelles,0
63,Martin,Eric,57 Boulevard Pereire,0
64,Roy,Pascal,18 Rue De Charonne,2
65,Bonnet,Karine,177 Avenue De Wagram,3
66,Legrand,Julie,81 Avenue De La Bastille,4
67,Noel,Alain,49 Boulevard Des Batignolles,2
68,Gautier,Marianne,98 Boulevard Haussmann,1
69,Sanchez,Oceane,170 Rue Oberkampf,1
70,Chevalier,Pascal,19 Avenue De La République,0
71,Duval,Jacqueline,78 Boulevard Beaumarchais,0
72,Inconnu,Laurent,96 Rue De Courcelles,1
73,Inconnu,Celine,12 Rue De Lévis,0
74,Francois,Inconnu,114 Boulevard De Rochechouart,4
75,Morin,Dominique,107 Rue De La Paix,1
76,Simon,Alain,178 Rue Amelot,0
77,Guerin,Catherine,59 Avenue Philippe-Auguste,0
78,Joly,Frederic,58 Rue De Rivoli,3
79,Bernard,Corinne,81 Rue De La Folie-Méricourt,0
80,Bertrand,Caroline,141 Boulevard Pereire,2
81,Simon,Julie,142 Rue De Ménilmontant,0
82,Duval,Fabrice,129 Boulevard Malesherbes,2
83,Robert,Julien,53 Rue De La Roquette,4
84,Lambert,Bernard,58 Avenue Montaigne,0
85,Gerard,Jacqueline,96 Rue De Courcelles,1
86,Masson,Celine,192 Rue De Ménilmontant,0
87,Noel,Francine,9 Rue Condorcet,0
88,Robert,Monique,53 Boulevard Voltaire,0
89,Muller,Christine,64 Rue Cardinet,2
90,Guerin,Olivier,23 Boulevard Voltaire,1
91,Muller,Veronique,20 Avenue Hoche,0
92,Duval,Bruno,107 Rue Amelot,2
93,Gautier,Fabrice,34 Rue Popincourt,0
94,Bertrand,Veronique,176 Rue Amelot,1
95,Roy,Monique,197 Rue Saint-Maur,0
96,Vincent,David,171 Rue Lafayette,0
97,Durand,Anne,106 Rue Amelot,0
98,Simon,Pascale,186 Avenue De Wagram,0
99,Thomas,Nicolas,65 Rue Du Faubourg Saint-Honoré,1
100,Masson,Jacqueline,53 Rue Saint-Maur,0
101,Michel,Isabelle,54 Avenue De Wagram,2
102,Michel,Emilie,11 Rue Lafayette,0
103,Gauthier,Pierre,101 Avenue Parmentier,2
104,Legrand,Lisa,89 Rue Jean-Pierre Timbaud,0
105,Durand,Julie,173 Avenue Montaigne,0
106,Nguyen,Christine,119 Rue De Rivoli,4
107,Mathieu,Valerie,186 Avenue Hoche,0
108,Gauthier,Vincent,137 Rue De La Folie-Méricourt,0
109,Duval,Christine,191 Avenue Trudaine,0
110,Inconnu,Frederic,Adresse_Inconnue,0
111,Morel,Manon,60 Avenue De Wagram,0
112,Mathieu,Catherine,157 Boulevard Du Temple,0
113,Dupont,Philippe,78 Rue De Rome,0
