ID_Personne,Nom,Prenom,Adresse,CSP
1,Noel,Philippe,124 Avenue Victor Hugo,6
2,Michel,Francine,59 Boulevard Haussmann,9
3,Dumont,Francine,109 Avenue de la République,4
4,Legrand,Delphine,105 Rue de la Paix,5
5,Chevalier,Francine,72 Rue Lafayette,7
6,Gerard,Martine,72 Rue Lafayette,4
7,Roussel,Claire,116 Rue de Rome,3
8,Garcia,Claire,47 Rue Cardinet,3
9,Chevalier,Manon,82 Boulevard des Batignolles,5
10,Lefebvre,Celine,194 Rue de Ménilmontant,3
11,Fontaine,Patrick,136 Rue Popincourt,employé
12,Perrin,Marianne,72 Boulevard de Rochechouart,3
13,Faure,,77 Boulevard du Temple,3
14,Roche,Christine,43 Avenue de Clichy,2
15,Duval,Patrick,91 Rue de Ménilmontant,4
16,Simon,Delphine,180 Rue Saint-Maur,7
17,David,Eric,137 Boulevard Haussmann,3
18,Blanc,Chantal,142 Avenue Montaigne,employes
19,Garnier,Emilie,95 Rue de Charonne,8
20,Gauthier,Francoise,184 Boulevard Saint-Germain,6
21,Laurent,Camille,107 Rue de Belleville,
22,Garcia,Emma,70 Rue de Ménilmontant,8
23,Roux,Sandrine,104 Rue Jean-Pierre Timbaud,
24,Martinez,Pascale,176 Boulevard Pereire,8
25,Perrin,Delphine,42 Rue de Belleville,1
26,Nguyen,Delphine,100 Avenue Victor Hugo,NC
27,Martin,Patrick,72 Avenue Hoche,9
28,Sanchez,Daniel,197 Avenue de Clichy,
29,Perrin,David,69 Rue Lafayette,1
30,Francois,Michel,187 Boulevard de Rochechouart,7
31,Roux,Sophie,24 Avenue de Clichy,5
32,Lefebvre,Karine,61 Rue du Temple,1
33,Andre,Christophe,107 Rue Condorcet,6
34,Roger,Sylvie,63 Avenue de la République,3
35,Sanchez,Dominique,187 Rue de Courcelles,4
36,Morin,Marianne,83 Rue de Rivoli,NC
37,Gautier,Bruno,15 Rue Saint-Antoine,5
38,Joly,Chantal,112 Avenue Hoche,cadre
39,Bonnet,Celine,76 Avenue Parmentier,6
40,Garnier,Pascal,5 Avenue Trudaine,NC
41,Francois,David,163 Rue de la Roquette,8
42,Richard,Pierre,156 Boulevard Malesherbes,7
43,,Michel,66 Rue Popincourt,6
44,Nguyen,Delphine,98 Rue Cardinet,sans_activite
45,Dupont,Stephane,163 Rue de Lévis,artisan
46,Roche,Aurelie,156 Rue Blanche,sans_activite
47,Moreau,Celine,157 Avenue Philippe-Auguste,2
48,Laurent,Pascal,73 Boulevard Richard-Lenoir,agriculteur
49,Dumont,Patrick,40 Rue de Rivoli,6
50,Simon,Nicolas,55 Boulevard Richard-Lenoir,4
51,Robin,Julien,99 Boulevard du Temple,3
52,Gautier,Chantal,129 Avenue Trudaine,6
53,Joly,Nathalie,99 Boulevard Malesherbes,6
54,Roy,Alain,70 Rue Lafayette,9
55,Muller,Pascale,92 Rue Condorcet,2
56,Vincent,Jacqueline,112 Rue de Belleville,profession_intermediaire
57,Morel,Emma,182 Rue Lafayette,3
58,Lopez,Valerie,92 Avenue Parmentier,7
59,Nguyen,Lea,59 Rue Saint-Antoine,1
60,Roger,Jean,195 Boulevard Pereire,8
61,Leroy,Francine,176 Boulevard Voltaire,3
62,Denis,Manon,38 Rue de Courcelles,9
63,Martin,Eric,57 Boulevard Pereire,
64,Roy,Pascal,18 Rue de Charonne,2
65,Bonnet,Karine,177 Avenue de Wagram,3
66,Legrand,Julie,81 Avenue de la Bastille,retraité
67,Noel,Alain,49 Boulevard des Batignolles,2
68,Gautier,Marianne,98 Boulevard Haussmann,1
69,Sanchez,Oceane,170 Rue Oberkampf,cadre
70,Chevalier,Pascal,19 Avenue de la République,7
71,Duval,Jacqueline,78 Boulevard Beaumarchais,sans_activite
72,,Laurent,96 Rue de Courcelles,1
73,,Celine,12 Rue de Lévis,X
74,Francois,,114 Boulevard de Rochechouart,4
75,Morin,Dominique,107 Rue de la Paix,1
76,Simon,Alain,178 Rue Amelot,5
77,Guerin,Catherine,59 Avenue Philippe-Auguste,8
78,Joly,Frederic,58 Rue de Rivoli,3
79,Bernard,Corinne,81 Rue de la Folie-Méricourt,6
80,Bertrand,Caroline,141 Boulevard Pereire,2
81,Simon,Julie,142 Rue de Ménilmontant,
82,Duval,Fabrice,129 Boulevard Malesherbes,2
83,Robert,Julien,53 Rue de la Roquette,4
84,Lambert,Bernard,58 Avenue Montaigne,5
85,Gerard,Jacqueline,96 Rue de Courcelles,1
86,Masson,Celine,192 Rue de Ménilmontant,NC
87,Noel,Francine,9 Rue Condorcet,7
88,Robert,Monique,53 Boulevard Voltaire,cadres
89,Muller,Christine,64 Rue Cardinet,2
90,Guerin,Olivier,23 Boulevard Voltaire,1
91,Muller,Veronique,20 Avenue Hoche,5
92,Duval,Bruno,107 Rue Amelot,2
93,Gautier,Fabrice,34 Rue Popincourt,6
94,Bertrand,Veronique,176 Rue Amelot,1
95,Roy,Monique,197 Rue Saint-Maur,NC
96,Vincent,David,171 Rue Lafayette,7
97,Durand,Anne,106 Rue Amelot,5
98,Simon,Pascale,186 Avenue de Wagram,8
99,Thomas,Nicolas,65 Rue du Faubourg Saint-Honoré,1
100,Masson,Jacqueline,53 Rue Saint-Maur,X
101,Michel,Isabelle,54 Avenue de Wagram,2
102,Michel,Emilie,11 Rue Lafayette,7
103,Gauthier,Pierre,101 Avenue Parmentier,2
104,Legrand,Lisa,89 Rue Jean-Pierre Timbaud,99
105,Durand,Julie,173 Avenue Montaigne,7
106,Nguyen,Christine,119 Rue de Rivoli,4
107,Mathieu,Valerie,186 Avenue Hoche,99
108,Gauthier,Vincent,137 Rue de la Folie-Méricourt,
109,Duval,Christine,191 Avenue Trudaine,8
110,,Frederic,,6
111,Morel,Manon,60 Avenue de Wagram,8
112,Mathieu,Catherine,157 Boulevard du Temple,6
113,Dupont,Philippe,78 Rue de Rome,
114,Lefebvre,Oceane,71 Rue Oberkampf,
115,Morin,Brigitte,85 Boulevard Voltaire,retraité
116,Moreau,Jean,69 Rue de Courcelles,3
117,Francois,Sebastien,183 Avenue de Wagram,6
118,Henry,Bruno,36 Avenue Victor Hugo,employes
119,Roger,Delphine,123 Rue Popincourt,1
120,Richard,Bruno,67 Boulevard Haussmann,retraité
121,Dumont,Francoise,162 Rue du Faubourg Saint-Honoré,9
122,David,Vincent,121 Avenue Victor Hugo,3
123,Simon,Martine,129 Rue des Martyrs,ouvrier
124,Henry,Laurent,12 Avenue Philippe-Auguste,5
125,Blanc,Francoise,,7
126,Legrand,Celine,48 Rue Amelot,3
127,Gerard,Nathalie,88 Avenue de Wagram,7
128,Legrand,Laetitia,86 Rue Blanche,6
129,Duval,Lea,20 Rue de la Paix,ouvrier
130,Masson,David,130 Rue Jean-Pierre Timbaud,agriculteur
131,Robert,Anne,191 Rue de Belleville,6
132,Garcia,Isabelle,61 Boulevard Richard-Lenoir,4
133,Garcia,Pascal,53 Rue de Rome,
134,Dubois,Brigitte,197 Avenue Parmentier,1
135,Gautier,Thierry,189 Avenue Parmentier,8
136,Dumont,Nicolas,6 Boulevard Malesherbes,4
137,Duval,Thierry,158 Avenue de la République,5
138,Lambert,Aurelie,15 Boulevard Saint-Germain,2
139,Dubois,Francoise,156 Avenue Montaigne,X
140,Nicolas,Bruno,43 Rue Amelot,profession_intermediaire
141,Chevalier,Camille,172 Avenue Parmentier,employé
142,Fontaine,Julien,191 Rue Oberkampf,8
143,Duval,Julie,5 Rue de Lévis,cadre
144,Mercier,Philippe,115 Avenue de Wagram,7
145,Masson,Jean,143 Rue de Ménilmontant,4
146,Sanchez,Christine,128 Avenue Trudaine,7
147,Blanc,Emilie,14 Rue de la Roquette,7
148,Muller,Patrick,88 Rue de la Paix,4
149,Gautier,Martine,187 Rue de Rome,8
150,Leroy,Camille,94 Boulevard Jules Ferry,2
151,Martinez,Manon,21 Rue Saint-Maur,7
152,Boyer,Vincent,69 Boulevard Haussmann,retraité
153,Bonnet,,74 Rue Lafayette,8
